EV_ID,Status,Distance_km,Gross_Profit_Eur,Charging_Cost_Eur,Net_Profit_Eur,Times_Charged,Wait_Time_mins,Final_SoC
0,driving,327.00,327.00,119.16,207.84,4,35,0.46
1,waiting,395.00,395.00,108.01,286.99,4,262,0.14
2,driving,412.00,412.00,162.34,249.66,5,168,0.69
3,charging,358.50,358.50,144.00,214.50,4,135,0.74
4,driving,514.00,514.00,231.00,283.00,6,67,0.38
5,driving,345.00,345.00,124.12,220.88,4,166,0.66
6,driving,520.00,520.00,240.00,280.00,6,55,0.54
7,driving,376.00,376.00,180.67,195.33,5,64,0.63
8,charging,271.00,271.00,79.71,191.29,3,53,0.39
9,driving,378.00,378.00,189.19,188.81,5,37,0.70
10,driving,327.00,327.00,121.59,205.41,4,30,0.39
11,charging,335.50,335.50,90.45,245.05,4,134,0.26
12,charging,363.50,363.50,138.55,224.95,4,112,0.18
13,charging,531.00,531.00,221.25,309.75,6,5,0.53
14,charging,474.50,474.50,215.30,259.20,5,55,0.74
15,driving,354.00,354.00,121.30,232.70,4,178,0.63
16,charging,466.00,466.00,159.74,306.26,5,27,0.72
17,charging,360.00,360.00,95.30,264.70,4,40,0.52
18,driving,464.50,464.50,224.25,240.25,6,113,0.46
19,driving,363.00,363.00,151.08,211.92,5,77,0.75
20,driving,417.50,417.50,164.59,252.91,5,131,0.64
21,charging,382.50,382.50,151.08,231.42,4,217,0.82
22,charging,431.00,431.00,174.66,256.34,5,204,0.40
23,driving,397.00,397.00,157.87,239.13,5,205,0.71
24,charging,474.50,474.50,187.53,286.97,5,25,0.84
25,waiting,442.50,442.50,207.50,235.00,5,234,0.16
26,driving,299.50,299.50,91.61,207.89,4,132,0.55
27,driving,467.00,467.00,194.46,272.54,6,19,0.58
28,waiting,379.50,379.50,151.40,228.10,4,257,0.18
29,driving,489.50,489.50,227.00,262.50,6,105,0.65
30,charging,351.00,351.00,119.37,231.63,4,47,0.52
31,driving,427.50,427.50,186.40,241.10,5,144,0.66
32,driving,312.50,312.50,96.28,216.22,4,55,0.63
33,driving,359.00,359.00,159.79,199.21,5,102,0.84
34,driving,529.00,529.00,236.75,292.25,6,26,0.44
35,driving,507.50,507.50,220.25,287.25,6,66,0.35
36,charging,342.50,342.50,154.04,188.46,4,0,0.63
37,waiting,452.00,452.00,149.55,302.45,5,71,0.13
38,charging,432.00,432.00,205.49,226.51,5,102,0.71
39,charging,295.00,295.00,78.83,216.17,3,47,0.48
40,driving,336.50,336.50,119.85,216.65,4,161,0.65
41,charging,399.00,399.00,145.50,253.50,4,147,0.33
42,moving_to_station,347.50,347.50,133.34,214.16,4,162,0.17
43,driving,370.50,370.50,124.11,246.39,4,123,0.47
44,driving,319.00,319.00,125.33,193.67,4,241,0.82
45,charging,342.00,342.00,158.25,183.75,4,249,0.44
46,driving,387.00,387.00,137.80,249.20,5,223,0.77
47,charging,500.00,500.00,219.00,281.00,6,68,0.33
48,driving,303.00,303.00,92.08,210.92,4,96,0.63
49,charging,386.50,386.50,144.57,241.93,4,190,0.43
50,driving,378.50,378.50,181.30,197.20,5,61,0.69
51,waiting,334.00,334.00,90.40,243.60,4,164,0.18
52,charging,368.50,368.50,160.83,207.67,4,398,0.29
53,moving_to_station,348.00,348.00,132.59,215.41,4,173,0.20
54,driving,452.50,452.50,191.91,260.59,5,48,0.43
55,driving,291.50,291.50,118.94,172.56,4,97,0.72
56,driving,536.50,536.50,221.00,315.50,6,0,0.27
57,driving,367.50,367.50,136.42,231.08,5,74,0.68
58,driving,544.00,544.00,216.75,327.25,6,3,0.29
59,driving,342.50,342.50,125.59,216.91,4,154,0.57
60,driving,424.50,424.50,214.51,209.99,6,33,0.93
61,driving,359.00,359.00,149.20,209.80,5,102,0.94
62,driving,321.00,321.00,142.11,178.89,4,241,0.63
63,driving,409.00,409.00,206.65,202.35,5,106,0.61
64,driving,394.50,394.50,187.20,207.30,5,21,0.61
65,driving,498.00,498.00,225.25,272.75,6,93,0.81
66,charging,447.00,447.00,149.80,297.20,5,103,0.33
67,charging,371.50,371.50,152.59,218.91,4,226,0.71
68,driving,409.50,409.50,183.89,225.61,5,0,0.38
69,driving,341.50,341.50,94.95,246.55,4,1,0.26
70,charging,437.00,437.00,193.27,243.73,5,22,0.76
71,driving,454.00,454.00,203.75,250.25,6,154,0.82
72,driving,505.00,505.00,226.75,278.25,6,51,0.62
