EV_ID,Status,Distance_km,Gross_Profit_Eur,Charging_Cost_Eur,Net_Profit_Eur,Times_Charged,Wait_Time_mins,Final_SoC
0,driving,433.00,303.10,80.39,222.71,2,268,0.40
1,charging,587.50,411.25,89.71,321.54,2,23,0.63
2,driving,556.00,389.20,105.25,283.95,3,142,0.99
3,driving,546.50,382.55,102.63,279.92,3,0,0.80
4,driving,472.00,330.40,76.80,253.60,2,222,0.43
5,driving,454.50,318.15,55.88,262.27,2,99,0.70
6,driving,535.50,374.85,78.09,296.76,2,84,0.40
7,driving,604.00,422.80,105.75,317.05,3,49,0.37
8,charging,477.00,333.90,57.78,276.12,2,109,0.39
9,driving,545.50,381.85,101.74,280.11,3,0,0.70
10,charging,465.00,325.50,61.79,263.71,2,307,0.41
11,driving,551.50,386.05,88.40,297.65,3,7,0.55
12,driving,496.50,347.55,40.99,306.56,2,0,0.25
13,charging,527.50,369.25,48.20,321.05,2,49,0.51
14,driving,502.00,351.40,57.02,294.38,2,0,0.54
15,driving,576.50,403.55,75.63,327.92,2,18,0.27
16,driving,481.50,337.05,56.43,280.62,2,19,0.53
17,charging,499.00,349.30,47.24,302.06,2,63,0.45
18,driving,479.00,335.30,72.22,263.08,3,1,0.79
19,driving,623.00,436.10,107.50,328.60,3,0,0.29
20,driving,489.50,342.65,49.57,293.08,2,31,0.46
21,charging,556.50,389.55,99.50,290.05,2,169,0.48
22,driving,553.00,387.10,89.11,297.99,3,0,0.70
23,charging,519.50,363.65,100.75,262.90,2,251,0.64
24,driving,628.50,439.95,109.50,330.45,3,0,0.83
25,driving,611.00,427.70,104.50,323.20,3,55,0.58
26,driving,442.00,309.40,54.45,254.95,3,215,0.98
27,driving,614.50,430.15,103.50,326.65,3,49,0.39
28,charging,549.00,384.30,97.59,286.71,2,120,0.58
29,charging,537.00,375.90,93.06,282.84,2,227,0.30
30,driving,476.00,333.20,39.01,294.19,2,34,0.21
31,charging,583.50,408.45,73.46,334.99,2,110,0.31
32,driving,554.00,387.80,89.26,298.54,3,0,0.74
