EV_ID,Station_ID,Arr,Dep,SoC_Start,SoC_Target,SoC_Final,Energy_kWh,Cost_Euro,Status,Charger_Type
1,8,0,116,0.23,0.88,0.88,32.11,5.78,Survived,Fast
2,9,0,498,0.25,0.76,0.76,25.40,3.05,Survived,Slow
3,7,2,301,0.23,1.00,1.00,38.12,4.57,Survived,Slow
4,7,2,278,0.20,0.65,0.65,22.33,2.68,Survived,Slow
5,3,3,497,0.17,0.70,0.70,26.79,3.22,Survived,Slow
6,3,4,150,0.16,0.63,0.63,23.47,4.22,Survived,Fast
7,0,6,408,0.21,0.87,0.87,32.65,3.92,Survived,Slow
8,4,6,155,0.20,0.99,0.99,39.12,7.04,Survived,Fast
9,11,6,102,0.23,0.89,0.89,32.99,5.94,Survived,Fast
10,6,8,403,0.08,0.65,0.65,28.11,3.37,Survived,Slow
11,7,8,511,0.16,1.00,1.00,41.89,5.03,Survived,Slow
12,9,8,156,0.21,0.77,0.77,27.82,5.01,Survived,Fast
13,2,9,134,0.17,0.62,0.62,22.70,4.09,Survived,Fast
14,9,9,129,0.23,0.70,0.70,23.44,4.22,Survived,Fast
15,6,9,110,0.25,0.84,0.84,29.50,5.31,Survived,Fast
16,11,10,156,0.17,0.93,0.93,38.13,6.86,Survived,Fast
17,11,10,151,0.20,0.62,0.62,20.73,3.73,Survived,Fast
18,11,10,112,0.11,0.80,0.80,34.37,6.19,Survived,Fast
19,7,11,143,0.24,0.84,0.84,30.05,5.41,Survived,Fast
20,9,11,137,0.21,0.72,0.72,25.66,4.62,Survived,Fast
21,6,13,458,0.19,0.69,0.69,25.38,3.05,Survived,Slow
22,7,14,105,0.14,0.87,0.87,36.47,6.56,Survived,Fast
23,11,14,380,0.20,0.89,0.89,34.78,4.17,Survived,Slow
24,1,15,152,0.19,0.80,0.80,30.11,5.42,Survived,Fast
25,4,15,120,0.16,0.86,0.86,35.05,6.31,Survived,Fast
26,10,15,295,0.15,0.79,0.79,31.80,3.82,Survived,Slow
27,2,16,145,0.16,0.91,0.91,37.85,6.81,Survived,Fast
28,1,16,524,0.20,0.66,0.66,22.84,2.74,Survived,Slow
29,1,18,118,0.17,0.91,0.91,36.98,6.66,Survived,Fast
30,1,19,454,0.24,0.96,0.96,36.18,4.34,Survived,Slow
31,11,20,521,0.24,0.65,0.65,20.48,2.46,Survived,Slow
32,11,20,120,0.20,0.60,0.60,20.35,3.66,Survived,Fast
33,7,21,502,0.18,0.79,0.79,30.68,3.68,Survived,Slow
34,6,21,124,0.27,0.99,0.99,36.05,6.49,Survived,Fast
35,10,22,170,0.22,0.77,0.77,27.40,4.93,Survived,Fast
36,11,22,127,0.23,0.87,0.87,31.84,5.73,Survived,Fast
37,4,23,166,0.16,0.83,0.83,33.02,5.94,Survived,Fast
38,7,23,123,0.18,0.89,0.89,35.62,6.41,Survived,Fast
39,9,23,134,0.17,0.63,0.63,22.89,4.12,Survived,Fast
40,1,24,142,0.22,0.97,0.97,37.23,6.70,Survived,Fast
41,1,26,139,0.18,0.64,0.64,23.17,4.17,Survived,Fast
42,4,27,173,0.14,0.91,0.91,38.76,6.98,Survived,Fast
43,7,28,131,0.16,0.73,0.73,28.49,5.13,Survived,Fast
44,7,30,148,0.19,0.96,0.96,38.31,6.90,Survived,Fast
45,3,31,133,0.28,0.67,0.67,19.53,3.52,Survived,Fast
46,7,33,175,0.21,0.85,0.85,31.92,5.75,Survived,Fast
47,11,33,158,0.15,0.61,0.61,23.15,4.17,Survived,Fast
48,7,34,163,0.16,0.82,0.82,33.09,5.96,Survived,Fast
49,1,34,146,0.18,0.69,0.69,25.32,4.56,Survived,Fast
50,11,34,151,0.19,0.70,0.70,25.51,4.59,Survived,Fast
51,10,37,505,0.19,0.78,0.78,29.75,3.57,Survived,Slow
52,10,37,443,0.21,0.88,0.88,33.77,4.05,Survived,Slow
53,3,39,470,0.17,0.90,0.90,36.64,4.40,Survived,Slow
54,9,39,442,0.24,0.99,0.99,37.42,4.49,Survived,Slow
55,8,40,486,0.16,0.89,0.89,36.57,4.39,Survived,Slow
56,1,41,162,0.18,0.83,0.83,32.50,5.85,Survived,Fast
57,7,41,147,0.12,0.90,0.90,38.86,6.99,Survived,Fast
58,2,42,139,0.25,0.68,0.68,21.39,3.85,Survived,Fast
59,7,42,167,0.20,0.94,0.94,36.89,6.64,Survived,Fast
60,4,43,145,0.22,0.86,0.86,31.88,5.74,Survived,Fast
61,6,43,149,0.24,0.88,0.88,32.18,5.79,Survived,Fast
62,2,43,169,0.23,0.74,0.74,25.55,4.60,Survived,Fast
63,3,44,530,0.15,0.81,0.81,33.22,3.99,Survived,Slow
64,1,45,535,0.24,0.71,0.71,23.21,2.79,Survived,Slow
65,5,46,140,0.23,0.65,0.65,21.12,3.80,Survived,Fast
66,3,46,190,0.24,0.88,0.88,31.72,5.71,Survived,Fast
67,9,47,384,0.20,0.91,0.91,35.63,4.28,Survived,Slow
68,10,48,513,0.21,0.99,0.99,39.04,4.68,Survived,Slow
69,6,48,486,0.11,0.63,0.63,26.35,3.16,Survived,Slow
70,1,49,182,0.25,0.91,0.91,33.09,5.96,Survived,Fast
71,11,50,326,0.23,0.87,0.87,32.04,3.84,Survived,Slow
72,10,50,542,0.18,0.73,0.73,27.63,3.32,Survived,Slow
73,10,50,161,0.14,0.71,0.71,28.62,5.15,Survived,Fast
74,7,51,341,0.26,0.76,0.76,24.67,2.96,Survived,Slow
75,5,51,554,0.16,0.83,0.83,33.35,4.00,Survived,Slow
76,4,51,486,0.19,0.94,0.94,37.71,4.53,Survived,Slow
77,1,54,145,0.10,0.98,0.98,44.11,7.94,Survived,Fast
78,7,55,440,0.17,0.65,0.65,23.92,2.87,Survived,Slow
79,11,56,423,0.23,0.81,0.81,28.98,3.48,Survived,Slow
80,11,56,205,0.21,0.99,0.99,39.10,7.04,Survived,Fast
81,1,56,488,0.12,0.60,0.60,24.42,2.93,Survived,Slow
82,5,57,366,0.22,0.76,0.76,26.85,3.22,Survived,Slow
83,2,57,553,0.19,0.70,0.70,25.35,3.04,Survived,Slow
84,3,57,155,0.23,0.81,0.81,29.23,5.26,Survived,Fast
85,8,58,507,0.28,0.77,0.77,24.66,2.96,Survived,Slow
86,1,59,177,0.20,0.75,0.75,27.23,4.90,Survived,Fast
87,7,59,175,0.21,0.91,0.91,34.90,6.28,Survived,Fast
88,1,74,175,0.15,0.86,0.86,35.47,6.38,Survived,Fast
89,4,94,234,0.17,0.73,0.73,27.71,4.99,Survived,Fast
90,6,106,242,0.22,0.61,0.61,19.42,2.33,Survived,Slow
91,3,111,207,0.23,0.80,0.80,28.69,5.16,Survived,Fast
92,6,112,482,0.19,0.80,0.80,30.41,3.65,Survived,Slow
93,4,117,235,0.24,0.94,0.94,35.07,6.31,Survived,Fast
94,11,132,256,0.16,0.86,0.86,35.02,6.30,Survived,Fast
95,3,140,590,0.27,0.99,0.99,35.87,4.30,Survived,Slow
96,10,148,461,0.22,0.80,0.80,29.15,3.50,Survived,Slow
97,7,150,517,0.18,0.69,0.69,25.62,3.07,Survived,Slow
98,2,156,648,0.18,0.94,0.94,38.11,4.57,Survived,Slow
99,11,175,308,0.24,0.81,0.81,28.48,5.13,Survived,Fast
100,2,179,451,0.18,0.94,0.94,37.91,4.55,Survived,Slow
101,6,187,293,0.09,0.82,0.82,36.40,6.55,Survived,Fast
102,5,212,617,0.20,0.67,0.67,23.26,2.79,Survived,Slow
103,1,215,318,0.23,0.83,0.83,30.02,5.40,Survived,Fast
104,1,227,356,0.19,0.69,0.69,25.19,4.53,Survived,Fast
105,11,231,738,0.12,0.70,0.70,28.87,3.46,Survived,Slow
106,4,260,690,0.26,0.79,0.79,26.89,3.23,Survived,Slow
107,2,271,384,0.18,0.89,0.89,35.52,6.39,Survived,Fast
108,3,285,721,0.18,0.75,0.75,28.31,4.04,Survived,Slow
