EV_ID,Status,Distance_km,Gross_Profit_Eur,Charging_Cost_Eur,Net_Profit_Eur,Times_Charged,Wait_Time_mins,Final_SoC
0,waiting,301.50,211.05,110.75,100.30,3,652,0.16
1,waiting,261.00,182.70,73.81,108.89,3,201,0.19
2,driving,365.50,255.85,121.00,134.85,4,478,0.27
3,driving,254.50,178.15,78.50,99.65,3,228,0.83
4,driving,331.00,231.70,136.40,95.30,4,179,0.32
5,driving,350.50,245.35,151.99,93.36,4,339,0.36
6,driving,240.00,168.00,112.19,55.81,3,428,0.73
7,driving,396.00,277.20,202.25,74.95,5,371,0.60
8,driving,360.50,252.35,166.17,86.18,5,75,0.83
9,charging,333.50,233.45,103.74,129.71,4,336,0.30
10,driving,357.00,249.90,175.04,74.86,5,73,0.78
11,driving,523.50,366.45,237.00,129.45,6,62,0.43
12,driving,242.50,169.75,71.21,98.54,3,254,0.75
13,driving,324.00,226.80,139.36,87.44,4,410,0.61
14,driving,425.50,297.85,181.35,116.50,5,0,0.23
15,driving,419.50,293.65,205.75,87.90,5,311,0.47
16,waiting,238.00,166.60,63.46,103.14,2,675,0.18
17,waiting,313.00,219.10,95.46,123.64,3,466,0.19
18,driving,446.00,312.20,196.28,115.92,6,45,0.70
19,charging,433.00,303.10,200.50,102.60,5,292,0.18
20,driving,362.50,253.75,196.00,57.75,4,475,0.46
21,driving,420.00,294.00,199.74,94.26,5,157,0.48
22,driving,393.00,275.10,156.90,118.20,5,16,0.42
23,waiting,264.00,184.80,89.66,95.14,3,362,0.15
24,charging,379.50,265.65,126.68,138.97,4,78,0.25
25,driving,304.00,212.80,138.63,74.17,4,236,0.51
26,waiting,390.50,273.35,119.50,153.85,4,433,0.16
27,waiting,334.50,234.15,86.50,147.65,4,198,0.12
28,charging,541.50,379.05,218.75,160.30,6,0,0.16
29,charging,443.50,310.45,158.30,152.15,5,6,0.40
30,charging,463.50,324.45,188.24,136.21,5,43,0.85
31,driving,410.00,287.00,169.50,117.50,5,334,0.55
32,driving,397.50,278.25,173.90,104.35,5,190,0.34
33,driving,426.50,298.55,169.75,128.80,5,285,0.48
34,driving,364.50,255.15,158.25,96.90,4,306,0.49
35,driving,347.00,242.90,150.88,92.02,4,356,0.56
36,charging,350.50,245.35,154.77,90.58,4,0,0.74
37,driving,436.00,305.20,175.80,129.40,5,142,0.51
38,driving,288.00,201.60,76.23,125.37,3,217,0.38
39,driving,382.50,267.75,190.18,77.57,5,193,0.85
40,charging,352.50,246.75,119.13,127.62,4,44,0.50
41,driving,321.00,224.70,135.45,89.25,4,419,0.59
42,waiting,410.50,287.35,168.05,119.30,5,172,0.18
43,charging,346.00,242.20,108.29,133.91,4,273,0.42
44,driving,353.50,247.45,139.44,108.01,4,329,0.63
45,charging,379.50,265.65,151.64,114.01,4,240,0.33
46,driving,518.00,362.60,252.75,109.85,6,57,0.59
47,driving,396.00,277.20,151.65,125.55,5,178,0.55
